objid,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,plate,mjd,fiberid,x_coord,y_coord,z_coord
1.23767e+18,18.46111,17.29075,17.26804,17.28953,17.33997,4670,301,2,57,2.52881e+18,STAR,2246,53767,131,0.17233939927848774,0.08127025994263795,-0.09075581980281074
1.23767e+18,18.92543,18.54969,18.41133,18.29391,18.1516,5972,301,4,129,5.96291e+18,QSO,5296,55922,520,-3731.755924209349,3776.3149542949604,1077.5922287134213
1.23765e+18,17.9737,16.65369,15.95186,15.46309,15.211870000000001,1239,301,6,91,5.26952e+17,QSO,468,51912,113,-155.74436368009873,161.41246951175378,3.339763807249932
1.23766e+18,19.48661,19.296529999999997,19.21069,18.98779,18.927229999999998,3910,301,4,58,2.05826e+18,QSO,1828,53504,421,-3662.7827225110445,-2962.24175428508,547.6486831441198
1.23766e+18,19.023,18.56469,18.55731,18.35894,18.500510000000002,3918,301,4,114,1.88043e+18,QSO,1670,54553,634,-1214.6605084943403,-720.4760047306422,1682.2327993478166
1.23766e+18,18.534979999999997,16.99454,16.39871,16.22772,16.03592,2986,301,5,103,1.33996e+18,STAR,1190,52670,504,-0.19055218711897412,0.1979762070742233,0.02499839087133719
1.23766e+18,19.15435,17.94369,17.36522,17.02372,16.80368,3926,301,5,200,1.59319e+18,GALAXY,1415,52885,153,-129.04021651279518,-448.8535342979889,189.15470246803034
1.23767e+18,18.487029999999997,16.268810000000002,15.39306,15.080070000000001,14.92955,4588,301,1,63,3.83265e+18,STAR,3404,54967,311,0.3179550444191255,0.2226988776508793,-0.20585300579250676
1.23767e+18,19.01566,18.768710000000002,18.2721,18.12228,18.06748,4829,301,2,119,8.64936e+18,QSO,7682,57415,714,3443.0291593590377,1260.7090152099827,1837.0435198466207
1.23767e+18,19.390539999999998,19.40515,19.3607,19.02968,19.0445,4674,301,3,176,2.42746e+18,QSO,2156,54525,58,-3061.855765315694,-3645.3038046733627,1714.6664065828854
1.23766e+18,18.95188,16.883879999999998,16.02715,15.723679999999998,15.58564,2963,301,2,110,3.54563e+18,STAR,3149,54806,624,0.3611622915928204,-0.3223637038093551,-0.3878104966962484
1.23766e+18,19.58794,18.21193,17.6102,17.43939,17.32534,3893,301,1,255,3.79203e+18,STAR,3368,54954,4,0.9350237665048837,0.35673320191762814,-0.8529105464428686
1.23766e+18,18.81614,17.35916,16.83223,16.63632,16.57646,4263,301,4,295,2.14613e+18,STAR,1906,53293,585,-0.4045665801302305,-0.20557017953245557,-0.00036158652463061283
1.23767e+18,18.74867,18.49889,18.438010000000002,18.2282,18.19335,4829,301,1,45,4.76403e+17,QSO,423,51821,537,4209.982498739877,1451.5571683416981,1245.237577833469
1.23766e+18,18.70467,16.99436,16.166970000000003,15.746189999999999,15.441220000000001,3698,301,4,12,1.37142e+18,GALAXY,1218,52709,269,-205.41914124834054,108.68300210897878,214.06048535674626
1.23766e+18,19.55604,19.81183,19.663629999999998,24.36195,19.30004,2825,301,5,153,9.3383e+18,QSO,8294,57365,308,-1706.8240169967432,2197.335934717934,2437.777327598833
1.23766e+18,18.503420000000002,17.59358,17.2338,17.12774,17.07781,2831,301,3,22,8.22592e+18,STAR,7306,56684,361,-1.579266299668619,1.3180765352078299,2.2580112106107544
1.23766e+18,19.35812,19.1967,18.78771,18.777810000000002,18.124010000000002,3716,301,1,227,1.57292e+18,QSO,1397,53119,122,-689.3661676640361,-638.4716404829106,778.8057823470706
1.23767e+18,17.556279999999997,16.40267,16.00194,15.86832,15.81344,6573,301,6,167,3.308e+18,STAR,2938,54526,371,0.05897137399689015,-0.20271357172798962,-0.1776609002323825
1.23766e+18,18.98808,18.66414,18.59976,18.40268,18.20482,2247,301,2,185,9.51426e+17,QSO,845,52381,148,-1803.601808385703,-270.2330402239243,138.59267241638798
1.23765e+18,18.65784,17.56728,17.05728,16.65802,16.514129999999998,1729,301,1,299,7.51001e+17,GALAXY,667,52163,92,299.7966916155788,193.71512013289518,-62.61206277527852
1.23765e+18,19.284010000000002,19.18872,18.8912,18.831789999999998,18.9666,1462,301,5,262,5.72067e+17,QSO,508,52366,398,-3853.102161660454,1065.4514314174064,199.9071017748575
1.23765e+18,19.365660000000002,17.49878,16.60579,16.18538,15.872910000000001,756,301,4,384,3.16552e+17,GALAXY,281,51614,634,-320.3363623401199,37.82057035701503,1.4673157486948418
1.23768e+18,19.37363,17.32856,16.25968,15.80879,15.395660000000001,7713,301,1,388,5.78377e+18,GALAXY,5137,55833,78,397.0806573844326,181.0186501672823,122.32726042388278
1.23768e+18,18.709120000000002,18.23079,17.61422,17.16013,16.99855,7780,301,4,124,8.82157e+18,QSO,7835,56986,538,596.2707403271608,390.71881523111676,-25.970853490026208
1.23767e+18,17.36968,16.46871,16.15345,16.04601,16.02178,5972,301,3,158,5.9707e+18,STAR,5303,55980,188,-0.24128551920711055,0.20907878350172066,0.06840228634516629
1.23767e+18,19.3009,17.45881,16.68562,16.37182,16.18636,4552,301,4,119,3.82255e+18,STAR,3395,55004,431,0.4147393314438543,0.060616280331663316,-0.2972238554904702
1.23766e+18,19.12138,18.659329999999997,18.76867,18.715020000000003,18.47055,3225,301,2,203,9.60189e+18,QSO,8528,57896,768,-1981.059965714627,-3682.650287267528,3883.2901437879113
1.23766e+18,18.54768,17.53095,17.1809,17.03726,16.97766,3900,301,5,686,2.76874e+18,STAR,2459,54544,558,0.9975103191888077,1.687765892042394,-0.9822715893706321
1.23765e+18,18.9578,17.618479999999998,17.10314,16.94979,16.87185,756,301,1,555,8.39473e+18,STAR,7456,56727,89,-0.48304105576160195,-0.16528188841582742,-0.008283958660773773
1.23765e+18,18.38905,18.236179999999997,18.04692,18.14848,18.104,1907,301,4,168,5.40602e+17,QSO,480,51989,620,-2871.814458828865,1814.1964883172134,133.26486544107834
1.23766e+18,17.6728,16.58726,16.23123,16.105970000000003,16.07005,2247,301,4,150,3.66151e+18,STAR,3252,54893,311,-0.46257982813388604,-0.026228612988798614,0.04125895898865653
1.23766e+18,19.23368,18.092270000000003,17.74095,17.4332,17.29336,4002,301,2,208,1.8634e+18,GALAXY,1655,53523,135,-125.15977844985366,-212.7236784015021,116.76089744749103
1.23767e+18,19.35962,18.151220000000002,17.721970000000002,17.458579999999998,17.34092,4679,301,4,78,8.5154e+18,GALAXY,7563,56810,810,-87.29711629706838,-181.71347499134075,288.91346241571546
1.23766e+18,18.71517,17.69961,17.36429,17.22304,17.18439,2963,301,2,107,9.94295e+18,STAR,8831,57448,448,0.2139709731417611,-0.19351269618646166,-0.2292250614894037
1.23767e+18,19.25935,17.88058,17.11626,16.71791,16.45928,5935,301,3,255,2.91501e+18,GALAXY,2589,54174,192,-454.523476825942,213.5605754192995,155.93185618960956
1.23765e+18,17.279329999999998,15.968979999999998,15.429070000000001,15.2247,15.10864,1331,301,3,151,3.57374e+18,STAR,3174,54821,489,0.08151458140145168,-0.11097683589478692,-0.15010836621164486
1.23766e+18,19.23281,17.8823,17.304489999999998,16.9554,16.723679999999998,2830,301,5,394,9.92057e+17,GALAXY,881,52368,508,-203.10670150704658,5.115386526412066,268.3724598290741
1.23766e+18,19.19108,18.14913,17.56111,17.247629999999997,17.04374,3704,301,3,124,1.79695e+18,GALAXY,1596,52998,37,-451.83774822497674,251.84762913093056,385.9493258379077
